Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
1.0,2nd week,Maharashtra,Gadchiroli,Malaria,7,2.0,10,1,2022,19.75907035,80.16228073,0.007479298714,9.0,299.97
7.0,6th week,Maharashtra,Gadchiroli,Malaria,1,1.0,9,2,2022,19.75907035,80.16228073,8.36e-05,,300.06333340000003
37.0,12th week,Maharashtra,Raigad,Dengue,11,,21,3,2022,18.4928092,73.13807095,0.0001800343472,,312.184
91.0,19th week,Maharashtra,Jalgaon,Dengue,9,1.0,6,5,2022,20.84288265,75.52612464,0.0001810070481,4.0,319.8166666
105.0,20th week,Maharashtra,Pune,Dengue,21,,16,5,2022,18.521428,73.8544541,0.008698042455,,309.265
108.0,20th week,Maharashtra,Pune,Dengue,12,,23,4,2022,18.521428,73.8544541,0.01502899002,,314.96
115.0,21st week,Maharashtra,Chandrapur,Malaria,13,1.0,25,5,2022,20.0967555,79.50454752,0.006072435084,,314.545
134.0,22nd week,Maharashtra,Gadchiroli,Malaria,310,1.0,29,5,2022,19.75907035,80.16228073,0.00876199396,10.0,311.0866666
158.0,23rd week,Maharashtra,Chandrapur,Malaria,3,1.0,4,6,2022,20.0967555,79.50454752,0.006238415131,6.0,311.32
183.0,24th week,Maharashtra,Gondia,Malaria,47,1.0,13,6,2022,21.455228,80.1962729,0.02882213092,7.0,311.61
194.0,3rd week,Maharashtra,Gadchiroli,Malaria,2,1.0,20,1,2021,19.75907035,80.16228073,2.27e-05,13.0,302.15000000000003
199.0,4th week,Maharashtra,Gadchiroli,Malaria,10,1.0,26,1,2021,19.75907035,80.16228073,7.83e-06,14.0,302.7
208.0,5th week,Maharashtra,Thane,Malaria,2,1.0,6,1,2021,19.1943294,72.9701779,0.02576509704,12.0,302.99
220.0,7th week,Maharashtra,Satara,Dengue,19,,16,2,2021,17.63612885,74.29827808,5.4e-05,6.0,307.9866666
259.0,16th week,Maharashtra,Satara,Dengue,7,,15,4,2021,17.63612885,74.29827808,0.1527963029,,313.9833334
264.0,16th week,Maharashtra,Satara,Dengue,31,1.0,5,4,2021,17.63612885,74.29827808,7.5e-05,5.0,317.92
270.0,19th week,Maharashtra,Thane,Malaria,2,1.0,2,5,2021,19.1943294,72.9701779,0.1122390997,10.0,314.216
276.0,20th week,Maharashtra,Thane,Dengue,2,1.0,29,4,2021,19.1943294,72.9701779,0.1043926176,9.0,315.4666666
299.0,25th week,Maharashtra,Sindhudurg,Dengue,62,,25,6,2021,16.1357193,73.6522086,0.833671811,,298.11
304.0,25th week,Maharashtra,Kolhapur,Dengue,5,3.0,15,6,2021,16.7028412,74.2405329,0.4365472546,7.0,305.93
315.0,26th week,Maharashtra,Pune,Dengue,6,,24,6,2021,18.521428,73.8544541,0.3569411311,10.0,301.40500000000003
323.0,27th week,Maharashtra,Amravati,Dengue,3,1.0,1,7,2021,20.9521098,77.7333168,0.2668179381,4.0,312.8466666
332.0,28th week,Maharashtra,Akola,Malaria,21,,16,7,2021,20.76181225,77.19211567,0.8712018327,5.0,302.98
333.0,28th week,Maharashtra,Amravati,Dengue,5,,12,7,2021,20.9521098,77.7333168,0.5008124671,,316.84000000000003
341.0,29th week,Maharashtra,Chandrapur,Dengue,58,1.0,3,7,2021,20.0967555,79.50454752,0.5816240733,,305.52
342.0,29th week,Maharashtra,Nagpur,Dengue,4,1.0,10,7,2021,21.1498134,79.0820556,0.5529516087,13.0,308.685
348.0,30th week,Maharashtra,Buldhana,Dengue,7,,1,7,2021,20.562845,76.40869861,0.4245402926,6.0,306.6533334
349.0,30th week,Maharashtra,Gadchiroli,Malaria,4,1.0,24,7,2021,19.75907035,80.16228073,1.087511221,9.0,
351.0,30th week,Maharashtra,Osmanabad,Dengue,4,,23,7,2021,18.16984395,76.11796321,1.374420463,8.0,300.42
358.0,31st week,Maharashtra,Amravati,Dengue,13,2.0,11,7,2021,20.9521098,77.7333168,0.3639732419,,316.98
