Unnamed: 0,week_of_outbreak,state_ut,district,disease,cases,deaths,day,mon,year,Latitude,Longitude,rainfall,lai,temp_kelvin,temp_c,humidity,population,pop_density,urban_percent
1,2nd week,Maharashtra,Gadchiroli,Malaria,7,2.0,10,1,2022,19.75907035,80.16228073,0.007479298714,9.0,299.97,26.82000000000005,20.016900899479204,1072942,77,14.2
7,6th week,Maharashtra,Gadchiroli,Malaria,1,1.0,9,2,2022,19.75907035,80.16228073,8.36e-05,,300.06333340000003,26.913333400000056,19.842656496778467,1072942,77,14.2
37,12th week,Maharashtra,Raigad,Dengue,11,,21,3,2022,18.4928092,73.13807095,0.0001800343472,,312.184,39.03400000000005,9.1852040379017,2635394,368,36.9
91,19th week,Maharashtra,Jalgaon,Dengue,9,1.0,6,5,2022,20.84288265,75.52612464,0.0001810070481,4.0,319.8166666,46.66666660000004,2.4732128390355017,4224442,359,38.1
105,20th week,Maharashtra,Pune,Dengue,21,,16,5,2022,18.521428,73.8544541,0.008698042455,,309.265,36.11500000000001,11.858265849207356,9429408,603,61.3
108,20th week,Maharashtra,Pune,Dengue,12,,23,4,2022,18.521428,73.8544541,0.01502899002,,314.96,41.81,6.92910451599384,9429408,603,61.3
115,21st week,Maharashtra,Chandrapur,Malaria,13,1.0,25,5,2022,20.0967555,79.50454752,0.006072435084,,314.545,41.39500000000004,7.18242540837273,2204307,192,32.4
134,22nd week,Maharashtra,Gadchiroli,Malaria,310,1.0,29,5,2022,19.75907035,80.16228073,0.00876199396,10.0,311.0866666,37.936666600000024,10.257128304486653,1072942,77,14.2
158,23rd week,Maharashtra,Chandrapur,Malaria,3,1.0,4,6,2022,20.0967555,79.50454752,0.006238415131,6.0,311.32,38.170000000000016,10.020489775378657,2204307,192,32.4
183,24th week,Maharashtra,Gondia,Malaria,47,1.0,13,6,2022,21.455228,80.1962729,0.02882213092,7.0,311.61,38.460000000000036,10.046919910210013,1322331,253,20.2
194,3rd week,Maharashtra,Gadchiroli,Malaria,2,1.0,20,1,2021,19.75907035,80.16228073,2.27e-05,13.0,302.15000000000003,29.000000000000057,18.006927671275395,1072942,77,14.2
199,4th week,Maharashtra,Gadchiroli,Malaria,10,1.0,26,1,2021,19.75907035,80.16228073,7.83e-06,14.0,302.7,29.55000000000001,17.523084148727584,1072942,77,14.2
208,5th week,Maharashtra,Thane,Malaria,2,1.0,6,1,2021,19.1943294,72.9701779,0.02576509704,12.0,302.99,29.840000000000032,17.589064716275324,11060148,1157,72.1
220,7th week,Maharashtra,Satara,Dengue,19,,16,2,2021,17.63612885,74.29827808,5.4e-05,6.0,307.9866666,34.8366666,12.874678310613694,3003922,287,29.7
259,16th week,Maharashtra,Satara,Dengue,7,,15,4,2021,17.63612885,74.29827808,0.1527963029,,313.9833334,40.833333400000015,9.504891497072128,3003922,287,29.7
264,16th week,Maharashtra,Satara,Dengue,31,1.0,5,4,2021,17.63612885,74.29827808,7.5e-05,5.0,317.92,44.77000000000004,4.139779657466771,3003922,287,29.7
270,19th week,Maharashtra,Thane,Malaria,2,1.0,2,5,2021,19.1943294,72.9701779,0.1122390997,10.0,314.216,41.06600000000003,8.794844691626825,11060148,1157,72.1
276,20th week,Maharashtra,Thane,Dengue,2,1.0,29,4,2021,19.1943294,72.9701779,0.1043926176,9.0,315.4666666,42.31666660000002,7.597248397428531,11060148,1157,72.1
299,25th week,Maharashtra,Sindhudurg,Dengue,62,,25,6,2021,16.1357193,73.6522086,0.833671811,,298.11,24.960000000000036,31.948982277222537,849651,168,22.4
304,25th week,Maharashtra,Kolhapur,Dengue,5,3.0,15,6,2021,16.7028412,74.2405329,0.4365472546,7.0,305.93,32.78000000000003,20.12307090926394,3876001,504,35.6
315,26th week,Maharashtra,Pune,Dengue,6,,24,6,2021,18.521428,73.8544541,0.3569411311,10.0,301.40500000000003,28.255000000000052,23.11016629344527,9429408,603,61.3
323,27th week,Maharashtra,Amravati,Dengue,3,1.0,1,7,2021,20.9521098,77.7333168,0.2668179381,4.0,312.8466666,39.696666600000015,11.925448338653277,2888445,237,40.5
332,28th week,Maharashtra,Akola,Malaria,21,,16,7,2021,20.76181225,77.19211567,0.8712018327,5.0,302.98,29.83000000000004,28.13412720683639,1818617,321,43.2
333,28th week,Maharashtra,Amravati,Dengue,5,,12,7,2021,20.9521098,77.7333168,0.5008124671,,316.84000000000003,43.690000000000055,11.329957108787347,2888445,237,40.5
341,29th week,Maharashtra,Chandrapur,Dengue,58,1.0,3,7,2021,20.0967555,79.50454752,0.5816240733,,305.52,32.370000000000005,22.291638266811844,2204307,192,32.4
342,29th week,Maharashtra,Nagpur,Dengue,4,1.0,10,7,2021,21.1498134,79.0820556,0.5529516087,13.0,308.685,35.535000000000025,19.151074097951344,4653171,470,45.2
348,30th week,Maharashtra,Buldhana,Dengue,7,,1,7,2021,20.562845,76.40869861,0.4245402926,6.0,306.6533334,33.50333340000003,19.337350075553623,2586258,268,28.3
349,30th week,Maharashtra,Gadchiroli,Malaria,4,1.0,24,7,2021,19.75907035,80.16228073,1.087511221,9.0,,,17.609576433229666,1072942,77,14.2
351,30th week,Maharashtra,Osmanabad,Dengue,4,,23,7,2021,18.16984395,76.11796321,1.374420463,8.0,300.42,27.27000000000004,36.65670645438314,1660311,219,25.7
358,31st week,Maharashtra,Amravati,Dengue,13,2.0,11,7,2021,20.9521098,77.7333168,0.3639732419,,316.98,43.83000000000004,9.501483100365856,2888445,237,40.5
